generated_at,league_key,competition,fixture_id,utcDate_fixture,date_fixture,matchday_fixture,rank,kind,utcDate_prev,matchday_prev,home_prev,away_prev,score_fulltime_prev,target_team,target_side_in_prev,target_pos_then,opponent,opponent_pos_then,target_gfpg_then,target_gapg_then,opponent_gfpg_then,opponent_gapg_then,delta_total,delta_total_val,match_id_prev,fd_source_file,fd_schema_hint,date_prev,mapped_home,mapped_away,teammap_home_score,teammap_away_score,teammap_home_risk,teammap_away_risk,fd_found,fd_FTHG,fd_FTAG,fd_FTR,fd_HTHG,fd_HTAG,fd_HTR,fd_HS,fd_AS,fd_HST,fd_AST,fd_HF,fd_AF,fd_HC,fd_AC,fd_HY,fd_AY,fd_HR,fd_AR
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,1,away,2026-02-08T16:15:00Z,21,Angers SCO,Toulouse FC,1-0,Toulouse FC,AWAY,8,Angers SCO,11,1.55,1.15,1.05,1.25,0.286,0.2857142857142857,542593,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-02-08,angers,toulouse,0.96,1.0,ok,ok,True,1,0,H,0,0,D,12,12,4,5,11,16,3,5,3,2,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,2,home,2026-02-08T16:15:00Z,21,Le Havre AC,RC Strasbourg Alsace,2-1,Le Havre AC,HOME,15,RC Strasbourg Alsace,7,0.8,1.25,1.65,1.25,0.35,0.3499999999999997,542586,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-02-08,le havre,strasbourg,1.0,0.95,ok,ok,True,2,1,H,1,1,D,15,10,7,3,15,12,9,3,2,1,0,1
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,3,home,2026-01-04T16:15:00Z,17,Le Havre AC,Angers SCO,2-1,Le Havre AC,HOME,15,Angers SCO,10,0.812,1.375,1.062,1.125,0.613,0.613095238095238,542550,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-04,le havre,angers,1.0,0.96,ok,ok,True,2,1,H,1,0,H,11,9,6,3,15,8,6,6,1,1,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,4,home,2025-10-05T15:15:00Z,7,Le Havre AC,Stade Rennais FC 1901,2-2,Le Havre AC,HOME,15,Stade Rennais FC 1901,8,1.0,1.333,1.167,1.333,0.738,0.738095238095238,542460,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-10-05,le havre,rennes,1.0,0.4167,ok,low_score,True,2,2,D,1,2,A,10,9,2,3,13,9,3,4,1,2,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,5,home,2026-01-24T18:00:00Z,19,Le Havre AC,AS Monaco FC,0-0,Le Havre AC,HOME,14,AS Monaco FC,9,0.889,1.333,1.556,1.833,0.897,0.8968253968253966,542568,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-24,le havre,monaco,1.0,0.9667,ok,ok,True,0,0,D,0,0,D,7,10,1,2,9,20,5,6,0,3,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,6,away,2026-01-25T16:15:00Z,19,Stade Brestois 29,Toulouse FC,0-2,Toulouse FC,AWAY,8,Stade Brestois 29,10,1.611,1.278,1.333,1.611,1.119,1.119047619047619,542575,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2026-01-25,brest,toulouse,0.9294,1.0,ok,ok,True,0,2,A,0,2,A,13,8,5,5,16,16,3,2,2,3,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,7,away,2025-12-13T20:05:00Z,16,Paris FC,Toulouse FC,0-3,Toulouse FC,AWAY,9,Paris FC,14,1.4,1.267,1.4,1.733,1.238,1.238095238095238,542543,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-12-13,paris,toulouse,1.0,1.0,ok,ok,True,0,3,A,0,2,A,9,7,2,4,12,14,7,4,3,1,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,8,away,2025-09-21T15:15:00Z,5,AJ Auxerre,Toulouse FC,1-0,Toulouse FC,AWAY,10,AJ Auxerre,15,1.75,2.0,0.75,1.5,1.5,1.5,542443,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-09-21,auxerre,toulouse,0.97,1.0,ok,ok,True,1,0,H,1,0,H,6,13,1,3,12,20,3,4,1,6,1,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,9,home,2025-08-31T15:15:00Z,3,Le Havre AC,OGC Nice,3-1,Le Havre AC,HOME,16,OGC Nice,9,1.0,2.5,1.5,1.0,1.571,1.5714285714285712,542424,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-08-31,le havre,nice,1.0,0.95,ok,ok,True,3,1,H,1,0,H,12,7,8,3,13,16,0,5,1,4,0,0
2026-02-10 21:06:09,FL1,FL1,542595,2026-02-15T14:00:00Z,2026-02-15,22,10,away,2025-11-09T14:00:00Z,12,FC Lorient,Toulouse FC,1-1,Toulouse FC,AWAY,9,FC Lorient,16,1.545,1.364,1.182,2.273,1.649,1.6493506493506491,542507,F1.csv,data.co.uk classic (HomeTeam/AwayTeam),2025-11-09,lorient,toulouse,1.0,1.0,ok,ok,True,1,1,D,1,0,H,10,6,2,2,6,18,6,4,0,4,0,0
